userId,month,date,sleep_start_time,sleep_end_time,sleep_min,sleep_efficiency,awaken_min,awaken_moments,cal_consume,active_cal,walks,distance,stairs,active_ratio,nap_total_freq,nap_total_time
3.0,5.0,2.0,1419.0,1924.0,424.0,0.84,81.0,25.0,2534.0,877.0,9160.0,6.63,13.0,0.15,0.0,0.0
3.0,5.0,3.0,1521.0,2010.0,414.0,0.85,75.0,22.0,2333.0,631.0,4861.0,3.5,1.0,0.15,0.0,0.0
3.0,5.0,4.0,1515.0,1914.0,366.0,0.92,33.0,21.0,2507.0,858.0,9063.0,6.37,10.0,0.14,0.0,0.0
3.0,5.0,5.0,1534.0,1980.0,390.0,0.87,56.0,23.0,2098.0,394.0,2187.0,1.52,0.0,0.09,0.0,0.0
3.0,5.0,6.0,1522.0,1993.0,427.0,0.91,44.0,27.0,1744.0,29.0,131.0,0.09,0.0,0.01,0.0,0.0
3.0,5.0,7.0,1469.0,1917.0,395.0,0.88,53.0,25.0,2093.0,311.0,1489.0,1.03,1.0,0.07,0.0,0.0
3.0,5.0,8.0,1444.0,2057.0,582.0,0.95,16.0,0.0,2306.0,577.0,4166.0,2.92,7.0,0.13,0.0,0.0
3.0,5.0,9.0,1437.0,1892.0,395.0,0.87,60.0,20.0,2576.0,900.0,7889.0,5.47,9.0,0.16,0.0,0.0
3.0,5.0,10.0,1435.0,1877.0,381.0,0.86,61.0,23.0,3093.0,1620.0,12876.0,9.01,45.0,0.3,0.0,0.0
3.0,5.0,11.0,1464.0,2018.0,502.0,0.91,52.0,25.0,2634.0,1011.0,9981.0,7.03,6.0,0.18,0.0,0.0
3.0,5.0,12.0,1525.0,1945.0,348.0,0.83,72.0,23.0,1768.0,62.0,315.0,0.22,0.0,0.02,0.0,0.0
3.0,5.0,13.0,1455.0,1989.0,479.0,0.9,55.0,27.0,2142.0,504.0,5314.0,4.4,2.0,0.08,0.0,0.0
3.0,5.0,14.0,1506.0,1939.0,383.0,0.88,50.0,20.0,2944.0,1379.0,12759.0,9.18,8.0,0.25,0.0,0.0
3.0,5.0,15.0,1470.0,1983.0,428.0,0.83,85.0,21.0,2436.0,853.0,7771.0,5.64,4.0,0.13,0.0,0.0
3.0,5.0,16.0,1443.0,1915.0,395.0,0.84,77.0,26.0,2853.0,1168.0,10044.0,7.06,9.0,0.2,0.0,0.0
3.0,5.0,17.0,1444.0,2009.0,501.0,0.89,64.0,32.0,2654.0,1096.0,12211.0,8.46,10.0,0.16,0.0,0.0
3.0,5.0,18.0,1521.0,1993.0,412.0,0.87,60.0,28.0,2140.0,323.0,1529.0,1.06,0.0,0.08,0.0,0.0
3.0,5.0,19.0,1556.0,2013.0,376.0,0.82,81.0,19.0,2251.0,574.0,6068.0,4.46,11.0,0.09,0.0,0.0
3.0,5.0,20.0,1542.0,2126.0,503.0,0.86,81.0,26.0,2330.0,685.0,6432.0,4.79,2.0,0.12,0.0,0.0
3.0,5.0,21.0,1471.0,1983.0,465.0,0.91,47.0,31.0,2529.0,880.0,8503.0,5.98,11.0,0.18,0.0,0.0
3.0,5.0,22.0,1444.0,1861.0,364.0,0.87,53.0,26.0,2494.0,836.0,7166.0,5.29,2.0,0.15,0.0,0.0
3.0,5.0,23.0,1471.0,1968.0,456.0,0.92,41.0,18.0,2817.0,1231.0,12603.0,8.73,19.0,0.2,0.0,0.0
3.0,5.0,24.0,1485.0,1958.0,408.0,0.86,65.0,21.0,1828.0,133.0,477.0,0.33,0.0,0.04,0.0,0.0
3.0,5.0,25.0,1392.0,2019.0,556.0,0.89,71.0,34.0,3192.0,1621.0,16455.0,11.4,8.0,0.25,0.0,0.0
3.0,5.0,26.0,1560.0,2043.0,436.0,0.9,47.0,28.0,2250.0,449.0,2850.0,1.98,0.0,0.11,0.0,0.0
3.0,5.0,27.0,1500.0,1982.0,431.0,0.89,51.0,29.0,2053.0,209.0,568.0,0.39,0.0,0.05,0.0,0.0
3.0,5.0,28.0,1537.0,2034.0,422.0,0.85,75.0,28.0,2386.0,664.0,6103.0,4.23,4.0,0.12,0.0,0.0
